"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 14, 2023","304.51","307.89","308.30","304.51","790.26K","-1.07%"
"Mar 13, 2023","307.80","287.99","312.59","286.30","1.04M","6.88%"
"Mar 12, 2023","287.99","275.99","288.11","273.41","332.20K","4.38%"
"Mar 11, 2023","275.90","277.48","281.58","270.60","390.55K","-0.57%"
"Mar 10, 2023","277.48","277.02","278.00","265.31","426.68K","-0.00%"
"Mar 09, 2023","277.49","286.99","291.29","271.44","339.22K","-3.31%"
"Mar 08, 2023","286.99","289.30","293.89","285.21","273.96K","-0.80%"
"Mar 07, 2023","289.30","287.90","290.40","283.63","213.08K","0.49%"
"Mar 06, 2023","287.90","288.80","289.70","283.61","215.63K","-0.28%"
"Mar 05, 2023","288.71","289.49","292.70","287.41","136.20K","-0.27%"
"Mar 04, 2023","289.49","290.40","291.40","286.01","134.85K","-0.31%"
"Mar 03, 2023","290.40","299.80","300.00","287.22","280.69K","-3.14%"
"Mar 02, 2023","299.80","302.70","303.70","295.90","209.77K","-0.96%"
"Mar 01, 2023","302.70","301.40","306.39","300.60","211.18K","0.43%"
"Feb 28, 2023","301.39","304.70","305.60","300.11","196.89K","-1.09%"
"Feb 27, 2023","304.70","308.69","309.40","300.70","244.63K","-1.30%"
"Feb 26, 2023","308.70","302.40","309.60","300.71","158.94K","2.08%"
"Feb 25, 2023","302.40","302.29","303.00","296.39","187.88K","0.04%"
"Feb 24, 2023","302.29","308.30","311.90","298.91","342.01K","-1.95%"
"Feb 23, 2023","308.30","312.70","314.99","305.90","313.71K","-1.41%"
"Feb 22, 2023","312.70","311.50","312.80","303.69","383.41K","0.39%"
"Feb 21, 2023","311.50","315.40","317.19","309.50","400.36K","-1.24%"
"Feb 20, 2023","315.40","311.42","319.60","308.60","531.11K","1.03%"
"Feb 19, 2023","312.19","316.50","318.59","311.00","348.89K","-1.36%"
"Feb 18, 2023","316.50","313.10","318.88","313.10","294.04K","1.09%"
"Feb 17, 2023","313.10","304.41","317.08","303.19","529.23K","2.85%"
"Feb 16, 2023","304.41","317.50","327.09","304.11","891.63K","-4.12%"
"Feb 15, 2023","317.50","296.20","317.59","294.11","483.43K","7.19%"
"Feb 14, 2023","296.20","294.31","301.26","289.90","515.80K","0.64%"
"Feb 13, 2023","294.31","312.60","315.30","283.00","1.11M","-5.85%"
"Feb 12, 2023","312.60","310.50","320.79","306.29","304.93K","0.74%"
"Feb 11, 2023","310.31","305.80","311.29","305.20","161.93K","1.44%"
"Feb 10, 2023","305.89","306.19","309.10","302.80","308.56K","-0.10%"
"Feb 09, 2023","306.19","328.20","329.20","303.27","584.31K","-6.70%"
"Feb 08, 2023","328.20","333.10","335.67","323.80","295.99K","-1.47%"
"Feb 07, 2023","333.10","324.10","333.60","323.42","276.96K","2.78%"
"Feb 06, 2023","324.10","327.70","331.19","321.41","299.44K","-1.10%"
"Feb 05, 2023","327.70","330.40","337.59","324.21","406.98K","-0.82%"
"Feb 04, 2023","330.40","332.20","334.00","327.21","213.94K","-0.54%"
