"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 14, 2023","80.910","81.460","82.050","80.400","1.56M","-0.72%"
"Mar 13, 2023","81.500","76.220","82.920","74.610","1.84M","6.93%"
"Mar 12, 2023","76.220","69.210","76.300","67.440","1.39M","10.11%"
"Mar 11, 2023","69.220","71.430","73.740","65.100","1.90M","-3.09%"
"Mar 10, 2023","71.430","76.710","76.810","68.410","1.96M","-6.92%"
"Mar 09, 2023","76.740","82.760","84.900","75.130","1.10M","-7.27%"
"Mar 08, 2023","82.760","86.290","86.650","81.700","626.05K","-4.09%"
"Mar 07, 2023","86.290","87.360","88.940","84.350","642.56K","-1.22%"
"Mar 06, 2023","87.360","89.930","90.600","86.710","628.92K","-2.86%"
"Mar 05, 2023","89.930","89.340","91.730","89.190","358.53K","0.66%"
"Mar 04, 2023","89.340","90.540","90.830","87.560","348.03K","-1.33%"
"Mar 03, 2023","90.540","95.340","95.420","86.120","934.00K","-5.03%"
"Mar 02, 2023","95.340","97.850","98.270","93.920","530.73K","-2.57%"
"Mar 01, 2023","97.850","93.790","98.190","93.640","578.27K","4.33%"
"Feb 28, 2023","93.790","94.070","95.990","93.100","380.29K","-0.30%"
"Feb 27, 2023","94.070","95.270","96.070","92.600","390.66K","-1.26%"
"Feb 26, 2023","95.270","93.160","95.520","92.790","343.66K","2.26%"
"Feb 25, 2023","93.160","91.580","93.470","90.620","426.38K","1.73%"
"Feb 24, 2023","91.580","94.580","95.210","90.170","501.50K","-3.17%"
"Feb 23, 2023","94.580","95.250","96.250","93.360","474.25K","-0.70%"
"Feb 22, 2023","95.250","93.810","95.500","91.730","693.30K","1.54%"
"Feb 21, 2023","93.810","95.920","96.760","91.770","739.57K","-2.20%"
"Feb 20, 2023","95.920","97.600","98.550","94.500","935.35K","-1.72%"
"Feb 19, 2023","97.600","99.720","101.470","96.950","433.84K","-2.13%"
"Feb 18, 2023","99.720","100.150","101.860","98.940","434.89K","-0.43%"
"Feb 17, 2023","100.150","98.540","101.590","98.290","569.62K","1.63%"
"Feb 16, 2023","98.540","102.850","105.250","98.510","687.33K","-4.19%"
"Feb 15, 2023","102.850","95.790","102.960","95.060","764.48K","7.37%"
"Feb 14, 2023","95.790","91.070","95.890","90.350","622.12K","5.18%"
"Feb 13, 2023","91.070","92.510","94.950","88.360","740.12K","-1.54%"
"Feb 12, 2023","92.490","94.290","94.570","91.130","306.63K","-1.91%"
"Feb 11, 2023","94.290","93.450","94.810","92.660","360.04K","0.90%"
"Feb 10, 2023","93.450","92.060","94.150","91.090","640.82K","1.51%"
"Feb 09, 2023","92.060","99.220","99.480","90.010","930.28K","-7.22%"
"Feb 08, 2023","99.220","100.870","102.300","96.940","559.84K","-1.64%"
"Feb 07, 2023","100.870","95.900","101.460","95.900","672.71K","5.18%"
"Feb 06, 2023","95.900","96.630","97.950","95.150","371.48K","-0.76%"
"Feb 05, 2023","96.630","98.500","98.880","94.940","417.62K","-1.87%"
"Feb 04, 2023","98.470","99.870","101.330","98.250","357.02K","-1.40%"
"Feb 03, 2023","99.870","98.460","100.730","97.520","570.02K","1.43%"
"Feb 02, 2023","98.460","100.330","102.110","97.990","729.49K","-1.86%"
"Feb 01, 2023","100.330","94.140","102.400","93.780","1.33M","6.58%"
