Price,Open,High,Low,Vol,Labels
506719,483006,509646,466526,0,4.85
520028,507419,546335,501415,0,2.63
513316,518893,535165,504449,0,1.29
522421,513004,532522,507849,0,1.77
516266,522771,525260,509652,0,1.18
557027,516302,557027,516100,0,7.9
544825,557100,565772,536492,0,2.19
558818,544643,562970,541281,0,2.57
555986,558898,560755,544947,0,0.51
520818,555816,556447,512329,0,6.33
522235,520557,526287,513351,0,0.27
523745,521863,544168,514555,0,0.29
521782,523444,524745,501506,0,0.37
521886,521984,530228,515475,0,0.02
507071,522026,527186,506247,0,2.84
545583,506576,550891,497256,0,7.59
538329,545911,547629,535030,0,1.33
554677,537823,557334,536953,0,3.04
545308,554902,555788,540668,0,1.69
523128,545188,551200,518135,0,4.07
526657,523370,533437,520595,0,0.67
544253,526274,546396,524959,0,3.34
567312,544402,579958,535055,0,4.24
571912,567867,580673,565964,0,0.81
575113,572412,585658,568480,0,0.56
586468,575018,586553,573933,0,1.97
592426,589029,592584,580944,0,1.02
589352,592935,592935,582863,0,0.52
661435,589563,674870,587103,0,12.23
648529,662598,709490,632817,0,1.95
